"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U11";"FPGAmodule";1;"FPGAtom";;;
2;"R53,R52,R1,R2,R3,R21,R45,R50,R51";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";9;"4k7";;;
3;"Q4,Q3";"TO-92_Inline_Wide";2;"BS170";;;
4;"R34,R30,R6,R7,R27,R28,R29,R31,R32,R33";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";10;"R";;;
5;"U6";"DIP-32_W15.24mm_Socket";1;"AS6C4008-55PCN";;;
6;"J5 Pi Tube";"Socket_Strip_Straight_2x20_Pitch2.54mm";1;"PiTube";;;
7;"J1 (PL7)";"DIN41612_B_2x32_Vertical";1;"Conn_02x32_Row_Letter_First";;;
8;"U5";"DIP-40_W15.24mm_Socket";1;"6522";;;
9;"U4,U9,U3";"DIP-20_W7.62mm_Socket";3;"74LS244";;;
10;"C11,C3,C5,C6,C7,C12,C15,C16,C17,C18,C2,C4,C9,C13,C14";"C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4";15;"100nF";;;
11;"U7";"PLCC-32_THT-Socket";1;"SST39LF040";;;
12;"J8";"DB_15F-VGA";1;"VGA video";;;
13;"Speaker";"Socket_Strip_Straight_2x01_Pitch2.54mm";1;"Speaker";;;
14;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"0,47µF";;;
15;"C10";"CP_Radial_D10.0mm_P5.00mm";1;"33µF";;;
16;"D1";"LED_D3.0mm";1;"RED";;;
17;"D2";"LED_D3.0mm";1;"GREEN";;;
18;"D3,D4";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"STPS2L60";;;
19;"J2 (PL6)";"DIN41612_B_2x32_Horizontal";1;"Conn_02x32_Row_Letter_First";;;
20;"J3";"Socket_Strip_Straight_1x03_Pitch2.54mm";1;"4M | 1M";;;
21;"J4";"BARREL_JACK";1;"5V in";;;
22;"U2";"DIP-20_W7.62mm_Socket";1;"74LVC245";;;
23;"Q1,Q2";"TO-92_Inline_Wide";2;"2N7000";;;
24;"J12";"Socket_Strip_Straight_1x03_Pitch2.54mm";1;"Cas  Ser";;;
